,,,注: 此列只代表tP26,,,,
Age,T20 mortality rate,qx,tPx = Px*Px+1*…*Px+t-1,Px,year,interest rate,v
26,0.000992113,0.000992113,0.999007887,0.999007887,2001,0.090062771,0.917378363
27,0.000701842,0.000701842,0.998306741,0.999298158,2002,0.071617775,0.933168545
28,0.000975019,0.000975019,0.997333373,0.999024981,2003,0.066461755,0.937680132
29,0.000900924,0.000900924,0.996434852,0.999099076,2004,0.07453072,0.930638818
30,0.000886353,0.000886353,0.995551658,0.999113647,2005,0.076723965,0.928743143
31,0.000919172,0.000919172,0.994636575,0.999080828,2006,0.090754473,0.916796607
32,0.000813485,0.000813485,0.993827453,0.999186515,2007,0.079862836,0.926043537
33,0.000870159,0.000870159,0.992962665,0.999129841,2008,0.090574654,0.916947772
34,0.001034947,0.001034947,0.991935001,0.998965053,2009,0.044650598,0.957257864
35,0.000847387,0.000847387,0.991094448,0.999152613,2010,0.054659215,0.948173577
36,0.000800341,0.000800341,0.990301235,0.999199659,2011,0.069175414,0.93530022
37,0.000783157,0.000783157,0.989525674,0.999216843,2012,0.044225853,0.957647234
38,0.000986618,0.000986618,0.98854939,0.999013382,2013,0.044328337,0.957553257
39,0.001001226,0.001001226,0.987559628,0.998998774,2014,0.040867925,0.960736685
40,0.001007686,0.001007686,0.986564478,0.998992314,2015,0.026292197,0.974381373
41,0.000961777,0.000961777,0.985615623,0.999038223,2016,0.02732767,0.973399266
42,0.00106683,0.00106683,0.984564139,0.99893317,2017,0.043533696,0.958282424
43,0.000983127,0.000983127,0.983596187,0.999016873,2018,0.051747887,0.950798202
44,0.001144206,0.001144206,0.98247075,0.998855794,2019,0.040731969,0.960862191
45,0.00116527,0.00116527,0.981325907,0.99883473,2020,0.017905341,0.98240962
46,0.001117744,0.001117744,0.980229035,0.998882256,2021,0.048727632,0.953536428
47,0.00114793,0.00114793,0.979103802,0.99885207,2022,0.105228055,0.904790641
48,0.001330205,0.001330205,0.977801393,0.998669795,2023,0.099750964,0.90929677
49,0.001348738,0.001348738,0.976482595,0.998651262,,,
50,0.001392117,0.001392117,0.975123217,0.998607883,,,
51,0.001417542,0.001417542,0.973740939,0.998582458,,,
52,0.001598428,0.001598428,0.972184484,0.998401572,,,
53,0.001722053,0.001722053,0.970510331,0.998277947,,,
54,0.00174396,0.00174396,0.968817799,0.99825604,,,
55,0.001847666,0.001847666,0.967027748,0.998152334,,,
56,0.00186372,0.00186372,0.965225479,0.99813628,,,
57,0.001691239,0.001691239,0.963593051,0.998308761,,,
58,0.001627446,0.001627446,0.962024856,0.998372554,,,
59,0.001522541,0.001522541,0.960560133,0.998477459,,,
60,0.001456609,0.001456609,0.959160973,0.998543391,,,
61,0.001405265,0.001405265,0.957813098,0.998594735,,,
62,0.001277236,0.001277236,0.956589745,0.998722764,,,
63,0.001229154,0.001229154,0.955413948,0.998770846,,,
64,0.001141927,0.001141927,0.954322936,0.998858073,,,
65,0.001069151,0.001069151,0.95330262,0.998930849,,,
66,0.00095294,0.00095294,0.95239418,0.99904706,,,
67,0.000810581,0.000810581,0.951622187,0.999189419,,,
68,0.000779537,0.000779537,0.950880362,0.999220463,,,
69,0.000537884,0.000537884,0.950368899,0.999462116,,,
70,0.000486315,0.000486315,0.949906721,0.999513685,,,
71,0.000359414,0.000359414,0.949565311,0.999640586,,,
72,0.000223183,0.000223183,0.949353384,0.999776817,,,
73,0.000177877,0.000177877,0.949184517,0.999822123,,,
74,7.14E-05,7.1395E-05,0.94911675,0.999928605,,,